:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2018 Aug 06 0200 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2018 02         7.8     8.8     6.8       73.3    74.3    72.3
2018 03         6.9     8.9     4.9       72.0    73.0    71.0
2018 04         6.4     9.4     3.4       70.7    72.7    68.7
2018 05         6.8    11.8     1.8       70.2    73.2    67.2
2018 06         7.3    12.3     2.3       69.9    73.9    65.9
2018 07         7.7    13.7     1.7       69.6    73.6    65.6
2018 08         8.0    15.0     1.0       69.2    74.2    64.2
2018 09         8.3    15.3     1.3       68.9    74.9    62.9
2018 10         8.7    16.7     0.7       68.6    75.6    61.6
2018 11         8.7    17.7     0.0       68.1    76.1    60.1
2018 12         8.5    17.5     0.0       67.6    75.6    60.0
2019 01         8.6    18.6     0.0       67.0    76.0    60.0
2019 02         8.5    18.5     0.0       66.5    75.5    60.0
2019 03         7.8    17.8     0.0       65.9    74.9    60.0
2019 04         7.3    17.3     0.0       65.4    74.4    60.0
2019 05         6.8    16.8     0.0       65.0    74.0    60.0
2019 06         6.4    16.4     0.0       64.5    73.5    60.0
2019 07         5.9    15.9     0.0       64.1    73.1    60.0
2019 08         5.5    15.5     0.0       63.8    72.8    60.0
2019 09         5.1    15.1     0.0       63.4    72.4    60.0
2019 10         4.8    14.8     0.0       63.1    72.1    60.0
2019 11         4.4    14.4     0.0       62.8    71.8    60.0
2019 12         4.1    14.1     0.0       62.5    71.5    60.0
